company,location,launch_date,rocket,mission,rocket_status,price,mission_status
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1988-03-17,Vostok-2M,IRS-1A,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1988-03-17,Molniya-M /Block ML,Molniya-1 n†­131,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",1988-03-22,Cosmos-3M (11K65M),Cosmos 1934,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",1988-03-25,Scout G1,San Marco 5,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1988-04-05,Cosmos-3M (11K65M),Cosmos 1937,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1988-04-20,Vostok-2M,Cosmos 1939,Retired,,Success
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1988-05-15,Zenit-2,Cosmos 1943,Retired,,Success
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-05-17,Ariane 2,Intelsat 3AF13,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",1988-05-26,Molniya-M /Block ML,Molniya-3 n†­132,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1988-05-28,Tsyklon-2,Cosmos 1949,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",1988-05-30,Tsyklon-3,Cosmos 1950,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1988-06-01,Tsyklon-3,Cosmos 1908,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",1988-06-14,Tsyklon-3,Cosmos 1953,Retired,,Success
ESA,"ELA-2, Guiana Space Centre, French Guiana, France",1988-06-15,Ariane 44LP,"Meteosat 3, Panamsat-1, Oscar 13",Retired,,Success
